GroupID,N_members,X_center,Y_center,Z_center
43,43.0,-288.4517648032372,-57.61598257159195,218.1579410786572
44,26.0,-281.5012515645833,-97.04500416589384,266.3337310754441
45,14.0,-294.1371790756194,-15.533786782850676,289.874383347437
46,64.0,-222.0139829941428,-46.94106722815281,207.79770507765633
47,8.0,-283.4607101744709,-56.70684457924464,292.5108579458571
48,90.0,-215.74100342810226,-4.682333941747447,266.9900532473889
49,40.0,-222.10253817180777,-42.41970140233602,216.7990021984559
50,51.0,-231.3673017834746,-23.081272672019747,215.06571820690814
51,36.0,-242.49801309115975,-93.24369176164674,284.4184417633883
52,47.0,-236.52057399671534,-24.998902101292103,283.8455434925267
53,35.0,-280.2566669374026,-33.34981551404089,248.57725797918556
54,28.0,-230.72139574395482,-60.91540335491085,229.76918994454311
55,19.0,-253.201702867207,-58.125623091406275,294.40132624480947
56,74.0,-207.0748696705098,-14.251429546444115,210.47611232160116
57,18.0,-257.58916131488473,-67.5897976013781,239.8292350455686
58,16.0,-293.6526354598229,-6.437223275703139,241.23254737598978
59,27.0,-250.22577672416853,-6.761768332345717,220.05776377903368
60,14.0,-289.46575851189465,-63.84813428633919,269.625532033404
61,32.0,-236.5359003402291,-74.31739395692807,204.4844646781806
62,74.0,-224.0679587502506,-97.23194972186947,242.92332173365045
63,39.0,-206.77390768583567,-54.7068626679623,216.25383361215341
64,12.0,-201.89501038547257,-22.42139834532718,238.90000894906146
65,59.0,-223.5874788911803,-40.85317456844293,207.08653324406478
66,20.0,-208.47883125830447,-84.07875364726402,224.03197929276294
67,57.0,-224.16858109747287,-5.825185802104514,280.66799373842406
68,34.0,-291.8935512961342,-15.721957268422383,222.6805860701977
69,36.0,-250.5096368322393,-51.49742665507545,273.3995743541731
70,21.0,-279.3047951694341,-81.93917771708355,274.32741522245715
71,31.0,-224.80299381303487,-77.98593030087018,205.12379391880143
72,13.0,-275.8865306307124,-77.30231918158843,210.9511632470875
73,23.0,-295.8565110119089,-49.46092988449122,205.16355216464618
74,38.0,-249.15440464726655,-62.08988502437412,213.85748273919458
75,40.0,-272.8067723881032,-45.05014656966018,217.18214365663445
76,78.0,-219.31060724780414,-77.49743995992695,215.07391340582797
77,44.0,-224.37931222274233,-3.2798672491346625,210.80191940674382
